composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,6.900000,55.200000,0.018116,0.449219,0.000000,0.449219,0.002560,2.560000
2,2,6.900000,55.200000,0.018116,0.449219,0.063477,0.512695,0.002568,2.568000
3,2,6.900000,55.200000,0.018116,0.449219,0.375977,0.825195,0.002560,2.560000
4,2,6.900000,55.200000,0.018116,2.539062,2.089844,4.628906,0.002560,2.560000
5,2,6.900000,55.200000,0.018116,1.230469,0.781250,2.011719,0.002560,2.560000
6,3,6.900000,55.200000,0.018116,0.449219,0.439453,0.888672,0.002568,2.568000
7,3,6.900000,55.200000,0.018116,2.539062,2.153320,4.692383,0.002568,2.568000
8,3,6.900000,55.200000,0.018116,1.230469,0.844727,2.075195,0.002568,2.568000
9,3,6.900000,55.200000,0.018116,2.539062,2.465820,5.004883,0.002568,2.568000
10,3,6.900000,55.200000,0.018116,1.230469,1.157227,2.387695,0.002568,2.568000
11,3,6.900000,55.200000,0.018116,3.320312,2.871094,6.191406,0.002560,2.560000
12,4,6.900000,55.200000,0.018116,2.539062,2.529297,5.068359,0.002576,2.576000
13,4,6.900000,55.200000,0.018116,1.230469,1.220703,2.451172,0.002576,2.576000
14,4,6.900000,55.200000,0.018116,3.320312,2.934570,6.254883,0.002568,2.568000
15,4,6.900000,55.200000,0.018116,3.320312,3.247070,6.567383,0.002568,2.568000
16,5,6.900000,55.200000,0.018116,3.320312,3.310547,6.630859,0.002576,2.576000
