composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,6.900000,55.200000,0.018116,0.449219,0.000000,0.449219,0.000640,0.640000
2,2,6.900000,55.000000,0.018182,0.449219,0.063477,0.512695,0.000644,0.644000
3,2,6.900000,53.600000,0.018657,0.449219,0.375977,0.825195,0.000628,0.628000
4,2,6.900000,47.200000,0.021186,2.539062,2.089844,4.628906,0.000552,0.591000
5,2,6.900000,42.800000,0.023364,1.230469,0.781250,2.011719,0.000496,0.420000
6,3,6.900000,52.900000,0.018904,0.449219,0.439453,0.888672,0.000622,0.632000
7,3,6.900000,47.200000,0.021186,2.539062,2.153320,4.692383,0.000552,0.587000
8,3,6.900000,42.800000,0.023364,1.230469,0.844727,2.075195,0.000500,0.424000
9,3,6.900000,47.200000,0.021186,2.539062,2.465820,5.004883,0.000552,0.571000
10,3,6.900000,42.800000,0.023364,1.230469,1.157227,2.387695,0.000500,0.408000
11,3,6.900000,42.800000,0.023364,3.320312,2.871094,6.191406,0.000500,0.415000
12,4,6.900000,46.500000,0.021505,2.539062,2.529297,5.068359,0.000546,0.575000
13,4,6.900000,42.100000,0.023753,1.230469,1.220703,2.451172,0.000494,0.412000
14,4,6.900000,42.800000,0.023364,3.320312,2.934570,6.254883,0.000500,0.411000
15,4,6.900000,42.800000,0.023364,3.320312,3.247070,6.567383,0.000500,0.395000
16,5,6.900000,42.100000,0.023753,3.320312,3.310547,6.630859,0.000494,0.399000
